"more presumptious","pió presuntuoso"
"strongly values tranquility and quiet","apprezza fortemente la tranquillitÖ e la quiete"
" can start in the indicated locations above."," puï iniziare nei luoghi indicati sopra."
" directed toward the worship of "," diretto al culto di "
" despite the latter's wounds"," nonostante le ferite di quest'ultimo"
"conical","conico"
"claim","pretesa"
"hate propensity","propensione all'odio"
", range ",", raggio "
"tenderness","tenerezza"
"I feel so free.","Mi sento cosç libero."
"Reader","Lettore"
"the Process","il Processo"
"is skinny and very long","ä secco e molto lungo"
"Pale","Pallido"
"You cannot jump while prone.","Non puoi saltare mentre sei prono."
"'s mandates have ended.","suo mandato ä finito."
"Snatcher","Accalappiatore"
"threw hauled item in tantrum","ha lanciato l'oggetto durante una sfuriata"
"scraping","raschiatura"
"Magma smelter","Fonderia di magma"
"that weapons be made","che le armi siano fatte"
"very wide-set","molto distanziati"
"finds introspection to be a waste of time","ritiene che l'introspezione sia una perdita di tempo"
"starts to whisper when ","inizia a sussurrare quando "
" against an obstacle, causing immediate death"," contro un ostacolo, causando la morte immediata"
"Argue","Litigare"
"haunted in dreams","tormentato nei sogni"
" descended upon "," sceso su "
" contemplating "," contemplando "
"the agreement by ","l'accordo da parte di "
"Specific person","Persona specifica"
"I was caught in smoke underground.","Sono rimasto bloccato nel fumo sottoterra."
"is small and fat","ä piccolo e grasso"
"Subject revealed that ","Il Sospettato ha rivelato che "
" wants "," vuole "
".  What can I do for you?",".  Cosa posso fare per te?"
" concluded"," concluso"
"the scuttling of ","l'abbandono di "
"believes that the creation and appreciation of artwork is one of the highest ideals","crede che la creazione e l'apprezzamento delle opere d'arte siano uno degli ideali pió elevati"
"I don't know anything else about them.","Non so nient'altro su di loro."
" was a time after civilization had"," era un tempo dopo che la civiltÖ aveva"
"Considered an intruder","Si tratta di un intruso"
"You have are injured.  View your status for more information.","Hai subito un infortunio. Visualizza il tuo stato per ulteriori informazioni."
"after making merry","dopo aver fatto baldoria"
"Recenter on the linked building.","Rincentra sull'edificio collegato."
"Vertical Axle","Asse verticale"
"It's wonderful to be out exploring the wilds!","‘ meraviglioso esplorare la natura selvaggia!"
"A beast horrible beyond imagining threatens us.","Una bestia orribile oltre ogni immaginazione ci minaccia."
"began dreaming of bringing peace to the world","ha iniziato a sognare di portare la pace nel mondo"
" Upward Track (NSW)"," Binario in Su (NSO)"
" passes"," sviene"
"a gem cutter's shop","un negozio dell'intagliatore di gemme"
"Not enough medium altitude locations after erosion","Insufficienti luoghi di media altitudine dopo l'erosione"
" fought with "," combattuto con "
"[C:7:0:1]Guildhalls[C:7:0:0]","[C:7:0:1]Case delle gilde[C:7:0:0]"
"codices","codici"
"spurning the value of harmony","ignorando il valore dell'armonia"
"Precession","Precedenza"
"Secret Library","Biblioteca segreta"
"Maximum key repeat acceleration multiplier","Moltiplicatore max di accelerazione della ripetizione dei tasti"
"You stand up.","Ti alzi in piedi."
"Claim your death items","Reclama oggetti di morte"
"famous bard","famoso bardo"
"Some abilities, like the flight of winged creatures, can just be used during regular movement without needing this menu. ","Alcune abilitÖ, come il volo delle creature alate, possono essere utilizzate durante il normale movimento senza bisogno di questo menu. "
"a few weeks ago","qualche settimana fa"
"order also works.","funziona anche l'ordine."
"Officers may opt for physical punishment if they cannot carry out custodial sentences.","Gli agenti possono optare per le punizioni fisiche se non possono amministrare pene detentive."
"being beaten","essere picchiati"
" corpses"," cadaveri"
"engineering:machine:screw","ingegneria:macchinario:vite"
"is weak, skinny and very short","ä debole, secco e molto basso"
"Click workshop","Clicca bottega"
" block"," blocco"
"tends to think before acting","tende a pensare prima di agire"
"Only","Solo"
"I am separated from ","Sono separato da "
"Plural Noun","Sostantivo plurale"
"hard work","duro lavoro"
"performance troupe","compagnia dello spettacolo"
" (invalid location)"," (luogo non valido)"
"Glassmaker","Vetraio"
"the Music","la Musica"
"Killed by a trap","Ucciso da una trappola"
"All counts accurate","Tutti i conteggi sono accurati"
"No Quarters","Nessun alloggio"
"Hunt Vermin","Caccia Animale dannoso"
" values quiet so, at least in the abstract"," apprezza la quiete, almeno in astratto"
"Finalizing plants...","Ultimando piante..."
"crushed an insurrection","stroncato un'insurrezione"
"I am sorry.  I do not think there is room for me.","Mi dispiace.  Non penso ci sia spazio per me."
"Intelligent wilderness creature","Creatura selvatica intelligente"
"Seasonal","Stagionale"
"Pillage (openly attack)","Saccheggia (attacco aperto)"
"danced","danzato"
"There is writing on the slab, but you cannot read.","C'ä una scritta sulla lastra ma non si riesce a leggere."
"clothing rots away","l'abbigliamento ä marcito"
"Over-exerted","Sovraffaticato"
" hold of the "," della presa del "
" distinct parts: "," parti distinte: "
"so very brave","molto coraggioso"
" point of view in a discussion"," punto di vista in una discussione"
"Masterwork architecture lost","Architettura magistrale persa"
" shooting "," sparando "
"legwear","pantaloni"
" in an undedicated temple"," in un tempio non consacrato"
"valor","valore"
"You are enraged.","Sei furioso."
"Normal difficulty","DifficoltÖ normale"
"Star chart","Mappa stellare"
"Spare me the compliments.","Risparmiami i complimenti."
"Nest box unclaimed","Nido artificiale non reclamato"
"Ice Upward Track (NSEW)","Ghiaccio Binario in Su (NSEO)"
"[C:7:0:1]Gathering[C:7:0:0]","[C:7:0:1]Raccolta[C:7:0:0]"
" frame"," telaio"
"natural history","storia naturale"
"Former member","Ex membro"
"This can done at the [C:6:0:0]Smelter[C:7:0:0] which can be found under [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Furnaces[C:7:0:0] -> [C:5:0:1]Smelter[C:7:0:0]. ","Questo puï essere fatto alla [C:6:0:0]Fonderia[C:7:0:0] che si trova in [C:5:0:1]Botteghe[C:7:0:0] -> [C:5:0:1]Fornaci[C:7:0:0] -> [C:5:0:1]Fonderia[C:7:0:0]. "
"was burned to death by ","ä stato bruciato a morte da "
"slows down and dies away as it draws to a close","rallenta e si spegne quando si avvicina la fine del periodo di lavoro"
" striking a triumphant pose"," facendo una posa trionfale"
"being flayed","essendo scorticato"
"Name the location","Nomina il luogo"
" Track (W)"," Binario (O)"
"I don't remember what I was going to say...","Non ricordo cosa stavo per dire..."
" Cabinet"," Armadietto"
"the coda","la coda"
"Final desert region count fails by ","Il conteggio finale delle regioni di deserto fallisce per "
"is bored by reality and would rather disappear utterly and forever into a world of made-up fantasy","ä annoiato dalla realtÖ e preferirebbe scomparire completamente e per sempre in un mondo di fantasia inventata"
" caught in a lava mist!"," intrappolato da una nebbia di lava!"
"I had to eat my beloved pet to survive.","Ho dovuto mangiare il mio amato animale domestico per sopravvivere."
"Tower Treasury","Tesoreria della Torre"
"This place has been conquered","Questo luogo ä stato conquistato"
"a fine dish","un piatto fine"
"Disdains eloquence","Disdegna l'eloquenza"
"In the [C:6:0:1]Temple Info Menu[C:7:0:0] you can see the value of the [C:1:0:1]Temple[C:7:0:0].  Sometimes the worshippers will demand ","Nel [C:6:0:1]Menu Info Tempio[C:7:0:0] puoi vedere il valore del[C:1:0:1]Tempio[C:7:0:0].  A volte i fedeli esigeranno "
"Parts","Parti"
"The three main methods of attacking are striking, wrestling, and shooting.  Items can also be thrown, and there are creatures ","I tre metodi principali di attacco sono colpire, lottare e sparare. ‘ anche possibile lanciare oggetti e ci sono creature "
"as an heirloom of the ","come cimelio di "
"suffering the travesty of art defacement","subire la beffa della deturpazione dell'arte"
"Flux Stone Layer","St PietraMutevole"
"mathematics:method:exhaustion","matematica:metodo:esaustione"
"Your childish games have made me tired.  Perhaps next time I visit you'll take this seriously.","I vostri giochi infantili mi hanno stancato.  Forse la prossima volta che verrï a trovarvi lo prenderete sul serio."
"Break of dawn","L'alba"
"This isn't irritating.","Non ä irritante."
"[C:4:0:1]Heavy bleeding","[C:4:0:1]Grave sanguinamento"
"sleeping on ice","aver dormito sul ghiaccio"
"former member","ex membro"
"grazing rights","diritti di pascolo"
"I'm very grateful.","Sono molto grato."
"Land gains a status","Territorio aumenta di prestigio"
"Commerce","Commercio"
"plaster-containing ","contenente gesso "
"the Company","la SocietÖ"
"Outdoor Animal Populations (Including Undead)","Popolazioni animali all'aperto (compresi Non-morti)"
"We shall bring ","Porteremo "
"the fall of ","la caduta di "
"be lively","essere vivace"
"My sibling discussed their problems with me.","Mio fratello ha parlato con me dei suoi problemi."
"being incinerated","essere incenerito"
"Dye thread","Tingi filo"
"In order to keep your citizens alive in the unforgiving wilderness they will need shelter, drink, and food.","Per mantenere in vita i tuoi cittadini nelle terre selvagge e spietate, avranno bisogno di riparo, bevande e cibo."
"What will you say about tribute agreement?","Cosa dirai riguardo all'accordo di tributo?"
"Reset Priority Goal","Reimposta PrioritÖ Obiettivo"
"Schedule","Programma"
"Considers monster","Considera mostro"
"goat","capra"
"I gelded a creature.","Ho castrato una creatura."
"less curious","meno curioso"
"generally acts with a narrow focus on the current activity","agisce generalmente con una concentrazione ristretta sull'attivitÖ corrente"
"Relapse","Ricaduta"
"Make metal bars from ore here.  Can also refine coal into usable fuel or make alloys.  All tasks require fuel.","Crea barre di metallo da minerale grezzo qui.  Puoi anche raffinare il carbone in combustibile utilizzabile o creare leghe.  Tutti i compiti richiedono combustibile."
"trickery","inganno"
"Migrants refused to journey to such a dangerous and miserable fortress this season.","I migranti si sono rifiutati di recarsi in questa stagione in una fortezza cosç pericolosa e miserabile."
"I'm uneasy.","Sono inquieto."
" begins to speak very deliberately"," inizia a parlare molto cautamente"
"loss of life.","perdita della vita."
" has been elected to the position of "," ä stato eletto alla posizione di "
"We haven't performed for some time.","‘ da un po' di tempo che non ci esibiamo."
"Stratus (rain)","Strato (pioggia)"
"Go to Beating Target","Vai a Obiettivo da percuotere"
"Soon the world will be set right.","Presto il mondo sarÖ sistemato."
"having an intellectual discussion with mother","discutendo intellettualmente con la madre"
"Update stockpile records","Aggiorna storico delle scorte"
" punishment delayed"," punizione ritardata"
"values cooperation","apprezza la cooperazione"
"these catacombs","queste catacombe"
"has a hint of viciousness to it","ha un pizzico di malvagitÖ"
"Sew ","Cuci "
"double-acting piston bellows","mantici a pistone"
" is conflicted by this as "," ä in conflitto con questo, in quanto "
"blight","piaga"
"Not responsible for trade","Non responsabile del commercio"
"the nervous system","il sistema nervoso"
"the cave","la grotta"
"Medium Precision","Precisione media"
"by restricting air flow out of the bell","limitando il flusso d'aria fuori dalla campana"
"reeking","disgustoso"
"after taking it easy","dopo essersela presa con calma"
"Failed!","Errore!"
" is with "," ä con "
