"more presumptious","더 주제넘은"
"Leapt from a great height","높은 곳에서 뛰어내려"
"I'm lustful.","나는 정욕적이다."
"You must yield!","양보해야 합니다!"
" fine"," 좋아"
"Became ","되었다 "
" fooled "," 속았다 "
"I shared a personal insight with my lover.","나는 연인과 개인적인 통찰력을 공유했습니다."
" is performed "," 수행된다 "
"Biting","날카로운"
"is fat and extremely tall","뚱뚱하고 매우 키가 큰"
"an infiltration mission","잠입 임무"
"Set the material used or other details of the task.","사용된 재료 또는 작업의 기타 세부 사항을 설정합니다."
"I care so much!","나는 너무 신경이 쓰인다!"
"is to","이다"
"stole our treasures","우리의 보물을 훔쳤다"
"I must take my leave.","나는 떠나야 한다."
"sky","하늘"
"struck","쳤다"
"is incredibly long yet is also weak and skinny","엄청나게 길지만 약하고 마른 체형입니다."
"the scalding of ","화상 "
"the Construction","건설"
"deans","학장"
"order","주문하다"
"sees others as selfish and conniving","다른 사람들을이기적이고 근심스러운 것으로 본다."
"moon phases","달의 위상"
"Workers ignore bodies","노동자들은 몸을 무시한다"
"dirt","흙"
"creation of a masterful image set","뛰어난 이미지 세트 생성"
"tanner","태너"
"You lie on the ground.","바닥에 누웠다."
" rightward bend"," 오른쪽 굽힘"
"Fed to beasts","짐승에게 먹이기"
"Move selector down","선택기를 아래로 이동"
"Somebody has better ","누군가가 더 나은 "
"Adding mud","진흙 추가"
"nothingness","헛됨"
"the issue of their godlessness","그들의 불경건 문제"
"is extremely short, weak and thin","매우 짧고 약하며 가늘다"
"drinking vomit","음주 구토"
"a coup","쿠데타"
"Magma Forge","마그마 대장간"
"round-chin","둥근 턱"
"You have struck ","너는 쳤다 "
"individual happiness","개인의 행복"
"Famous fighter","유명한 전사"
"Link to ","다음으로 연결 "
"eight","여덟"
"** Starting New Outpost **","** 새로운 전초기지 시작 **"
"deer","사슴"
"greatly respects those that observe decorum and maintain their dignity","예의범절을 지키고 품위를 유지하는 사람들을 대단히 존경한다"
"Philosophy","철학"
"Digging a channel will mine out a floor or wall at the current level and dig out a ramp at the level ","수로를 판다면 현재 층의 바닥이나 벽을 파내고 그 아래 층에 경사로를 파내야 합니다. "
"I feel fond.","나는 좋아한다."
"[C:6:0:1]Minecarts[C:7:0:0] that move too quickly around corners will spill their contents. ","[C:6:0:]광산 수레[C:7:0:]가 모퉁이를 너무 빨리 돌면 내용물이 쏟아집니다. "
"ended.","끝났다."
"the Siphon","사이펀"
"No Children","자녀 없음"
"I had a drink.","나는 술을 마셨다."
" truly respects sacrifice"," 진정으로 희생을 존중합니다"
":case:cases",":케이스:케이스"
"Age of the ","~의 시대 "
"the Flames","불길"
"is extremely fast","매우 빠르다"
"drums ","드럼 "
"You're so perceptive!","당신은 너무 지각이야!"
"Animal Trap","동물 함정"
"aunt","이모"
"Werebeast Attack Created Wealth Rating","Werebeast 공격으로 생성된 자산 등급"
"Robbery","강도"
"Charge attack: move toward your opponent","돌진 공격: 적에게 다가갑니다."
"No one else even considered making the journey to this miserable hellhole.","그 누구도 이 비참한 지옥구덩이속으로 여정을 떠나는 것을 고려하지 않았습니다."
"youngest son","어린 아들"
"had a dungeon constructed within","내부에 던전을 건설했다."
"The trouble started because of ","때문에 시작된 고민 "
"leaving a performance troupe","공연단을 떠나다"
"You have no idea what's lurking out there.","당신은 거기에 무엇이 숨어 있는지 전혀 모릅니다."
" bag, itself supplied by a "," 가방 자체 공급 "
"stole ","스톨 "
"will frequently ramble on with stories that don't have any point or even conclusion","종종 어떤 의미도 결론도 없는 이야기들로 횡설수설할것입니다. "
"burning to death","불타 죽고 있다"
"flooded","침수"
" Autumn"," 가을"
"ambushed","매복"
"A Priest for ","사제 "
"Enable testing arena (on next title)","테스트 경기장 활성화(다음 타이틀에서)"
"Empty animal traps","빈 동물 함정"
"read written content","서면 내용 읽기"
"small live animal","살아있는 소형동물"
"Use leather tanned at the tanner's shop here to make clothing and tools, such as bags and waterskins.","제혁소에서 무두질한 가죽을 이곳에서 사용해서 옷과 가방, 물주머니 등의 도구를 만듭니다."
"gems","보석"
"sees family as one of the most important things in life","가족을 인생에서 가장 중요한 것 중 하나로 본다."
"My clothes are in tatters.","내 옷이 너덜너덜해졌어."
"caught in rain","비를 맞다"
"Studying","공부하는"
" are worthy of respect"," 존경받을 만하다"
"Musical form","음악 형식"
"totemable ","토템 가능 "
"Surgical Tools","수술 도구"
" found a lasting home within "," 내에서 오래 지속되는 집을 찾았습니다 "
"Thrill-seeker","스릴을 추구함"
"Little soil","작은 흙"
"Somebody refused to name themself","누군가 자신의 이름을 밝히기를 거부했습니다."
"kangaroo","캥거루"
"finds helping others very emotionally rewarding","다른 사람들이 매우 감정적으로 보람을 느끼도록 돕는다."
" modestly and frowns on any flashy accoutrements"," 겸손하고 화려한 장신구에 눈살을 찌푸립니다."
"Prepare Equipment Manifests","장비 목록 준비"
"the Treaty","조약"
"a talented preacher","유능한 설교자"
"the Improvements","개선"
"is weak","약하다"
"coiled","코일"
"solid ","단단한 "
"Grassy Downward Slope","잔디 내리막 경사"
"Spring has arrived!","봄이 도달했다!"
"sun irritated","태양 짜증"
"It is cold.","날씨가 춥다."
"a very poor","매우 가난한"
"Items...","아이템..."
"counselors","카운셀러"
"froze to death","얼어 죽다"
"Tower Dungeon","타워 던전"
"a rescue mission","구조 임무"
"Bleeding","출혈중"
"Considers murderer","살인마로 간주됨"
"forms strong emotional bonds with others, at times to ","다른 사람들과 강한 감정적 유대를 형성하고, 때때로 "
"astronomy:method path models","천문학:방법 경로 모델"
"Child is not present","자녀가 없음"
"less than","미만"
"Cage","새장"
"Set a normal traffic area, the default state.","기본 상태인 일반 교통 영역을 설정합니다."
"Animals and the Climate","동물과 기후"
"Store Item","아이템 저장"
"Object","물체"
"the creation and use of the orthopedic cast","정형외과용 깁스의 생성 및 사용"
"I had an intellectual discussion with my mother.","나는 어머니와 지적인 토론을 했다."
" after an attack"," 공격 후"
"Disdains friendship","우정을 경멸함"
"Do your duty.","당신의 의무를 다하십시오."
"rebuilt","재건"
"engineering:machine:mechanical compass","공학:기계:기계 나침반"
"committing a depraved act","타락한 행위를 저지르는"
"door","문"
"Trap Occupied:","함정 점령:"
"would have the world operate in complete harmony without the least bit of strife or disorder","조금의 분쟁이나 혼돈 없이 완벽하게 조화롭게 운영되는 세상을 만들기를 원한다."
"Citizens and long-term residents only","시민권자 및 장기체류자에 한함"
"extract-bearing small creature ","추출물 함유 작은 생물 "
"[C:4:0:1]Serious fever","[C:4:0:1]심각한 발열"
"a known flatterer","알려진 아첨꾼"
"Your room is ","당신의 방은 "
"Migration","이주"
"It ","그것 "
" was the place for long-term scholarship."," 은/는 긴 기간 학문을 쌓는 곳이었소."
"You must think you're really frightening.","정말 무섭다고 생각하셔야 합니다."
"Calm","고요"
"improving ","개선 "
"The gaiety I'm feeling!","내가 느끼는 유쾌함!"
"Customize the squad's name.","분대의 이름을 사용자 지정합니다."
"intemperance","무절제"
"has an extremely thin body packed with huge muscles","거대한 근육으로 가득 찬 매우 얇은 몸을 가지고 있습니다."
"Automatically weave all thread","모든 실을 자동으로 짜다"
" interrogator"," 질문자"
"Processing inorganics...","무기물 처리..."
"is completely wrapped up in ","에 완전히 싸여있다 "
" (engrave memorial)"," (기념비를 새기다)"
"Titan Number","타이탄 번호"
"after being unable to fight","싸울 수 없게 된 뒤에"
"Cheesemaker","치즈메이커"
"I can take or leave merrymaking myself, but I don't begrudge people their enjoyment.","나는 혼자서 시끌벅쩍하게 놀 수 있지만 다른 사람들이 즐기는 것을 질투하지 않습니다."
"Hover over an alert icon to see the information. ","알림 아이콘 위로 마우스를 가져가면 정보를 볼 수 있습니다. "
"Tranquility","평온"
"pressed green glass","녹색 유리"
"ceramic","세라믹"
"the nature of existence","존재의 본질"
"Prepare lavish meal","호화로운 식사 준비"
"sleeping in ","자고 "
"The counting house","카운팅 하우스"
"the use of a laboratory for preparation of remedies in a hospital","병원에서 치료 준비를 위한 실험실 사용"
"I hate self-absorbed poetry.","나는 자기 도취적인 시를 싫어합니다."
"the compilation of family lineages and methods of displaying them artfully","가문의 계보 편찬과  계보의 예술적인 전시를 위한 방법."
"frozen filth powder","냉동 오물 가루"
"drown","안 들리게 하다"
"disdain ","경멸감 "
"to cry on a priest","사제에게 울다"
"edged ","예리한 "
"splayed","벌어진"
"Pull the lever","레버를 당겨"
"keep","유지하다"
"discourse on the nature of causation","원인의 본질에 대한 담론"
"isn't particularly curious about the world","특히 세계에 호기심이 없다."
"Playable Civilization Required","플레이 가능한 문명 필요"
"Unnamed archery range","이름 없는 궁술 연습장"
"Multiple copies of the timeline found.","타임라인의 여러 복사본이 발견되었습니다."
"Go to Reading Place","독서 장소로 이동"
"Ampoules","앰플"
"feeling no avarice","탐욕스럽지 않은 느낌"
"Remove this worker from this occupation.","이 직업에서 이 근로자를 제거하십시오."
"there was a procession","행렬이 있었다"
" it"," 그것"
" striking a menacing pose"," 위협적인 포즈를 취하는"
" have hatched."," 부화했다."
" laughs very loudly"," 아주 크게 웃는다"
"  There will be no rest for the enemy."," 적에게는 휴식이 없을 것입니다."
"potential employer","잠재적 고용주"
"sometimes","때때로"
"have been cursed","저주를 받았다"
"Loading agreements...","계약 로드 중..."
"has a habit of drumming ","북을 치는 습관이 있다 "
"cut open","잘라 열다"
" really "," 진짜 "
"philosophy:logic:inductive reasoning","철학:논리:귀납적 추론"
" (7 of 8)"," (7/8)"
" yoke and a "," 멍에와 "
"Create new world","새로운 세계 생성"
"Pure hate","순수한 증오"
"Avarice","과욕"
"somewhat long","다소 긴"
