"major","comandante"
"[C:7:0:1].Moderate pain","[C:7:0:1].Dolor moderado"
"[C:7:0:1].Minor pain","[C:7:0:1].Dolor leve"
"[C:3:0:1].Partial paralysis","[C:3:0:1].Par lisis parcial"
"[C:3:0:1].Some sluggishness","[C:3:0:1].Cierta lentitud"
"[C:3:0:1].Complete numbness","[C:3:0:1].Entumecimiento total"
"[C:3:0:1].Partial numbness","[C:3:0:1].Entumecimiento parcial"
"[C:3:0:1].Slight numbness","[C:3:0:1].Ligero entumecimiento"
"[C:6:0:1].Extreme swelling","[C:6:0:1].Hinchaz¢n extrema"
"[C:6:0:1].Minor swelling","[C:6:0:1].Hinchaz¢n menor"
"[C:7:0:1].Function totally impaired","[C:7:0:1].Funci¢n totalmente deteriorada"
"[C:7:0:1].Partially impaired function","[C:7:0:1].Funci¢n parcialmente alterada"
"[C:7:0:1].Slightly impaired function","[C:7:0:1].Funci¢n ligeramente deteriorada"
"[C:7:0:1]Has been sutured","[C:7:0:1]Ha sido suturado"
"[C:5:0:1]Infection","[C:5:0:1]Infecci¢n"
"[C:7:0:0]No evaluated wounds","[C:7:0:0]Sin heridas evaluadas"
"[C:7:0:0]No wounds","[C:7:0:0]Sin heridas"
"[C:6:0:0]In traction","[C:6:0:0]En tracci¢n"
"[C:4:0:1]Heavy bleeding","[C:4:0:1] Sangrado abundante"
"[C:4:0:1]Bleeding","[C:4:0:1] Sangrado"
"[C:5:0:1]Severe blood loss","[C:5:0:1] P‚rdida severa de sangre"
"[C:5:0:1]Pale","[C:5:0:1] P lido"
"[C:5:0:1]Moderate blood loss","[C:5:0:1] P‚rdida de sangre moderada"
"[C:5:0:1]Faint","[C:5:0:1] D‚bil"
"[C:3:0:1]Paralyzed","[C:3:0:1] Paralizado"
"[C:3:0:1]Partially paralyzed","[C:3:0:1]Parcialmente paralizado"
"[C:3:0:1]Sluggish","[C:3:0:1]Perezoso"
"[C:3:0:1]Completely numb","[C:3:0:1]Completamente entumecido"
"[C:3:0:1]Partially numb","[C:3:0:1]Parcialmente entumecido"
"[C:3:0:1]Slightly numb","[C:3:0:1]Ligeramente entumecido"
"[C:4:0:1]Serious fever","[C:4:0:1]Fiebre grave"
"[C:4:0:1]Moderate fever","[C:4:0:1]Fiebre moderada"
"[C:4:0:1]Slight fever","[C:4:0:1]Fiebre leve"
"[C:6:0:1]Extreme pain","[C:6:0:1]Dolor extremo"
"[C:6:0:1]Moderate pain","[C:6:0:1]Dolor moderado"
"[C:6:0:1]Slight pain","[C:6:0:1]Dolor leve"
"[C:6:0:1]Exhausted","[C:6:0:1] Agotado"
"[C:6:0:1]Over-exerted","[C:6:0:1]Sobreesfuerzo"
"[C:6:0:1]Tired","[C:6:0:1]Cansado"
"[C:3:0:1]Stunned","[C:3:0:1]Aturdido"
"[C:3:0:1]Dizzy","[C:3:0:1]Mareado"
"[C:1:0:1]Drowning","[C:1:0:1]Ahogamiento"
"[C:7:0:0]Winded","[C:7:0:0]Sin aliento"
"[C:2:0:1]Nauseous","[C:2:0:1] N useas"
"[C:4:0:1]Very drowsy","[C:1:0:1]Muy somnoliento"
"[C:1:0:1]Drowsy","[C:1:0:1] Somnoliento"
"[C:5:0:1]Dehydrated","[C:5:0:1] Deshidratado"
"[C:1:0:1]Thirsty","[C:1:0:1] Sediento"
"[C:4:0:1]Starving","[C:4:0:1] Hambriento"
"[C:6:0:0]Hungry","[C:6:0:0]Hambriento"
"[C:4:0:1]Slumberous","[C:4:0:1]So¤oliento"
"[C:6:0:1]Drowsy","[C:6:0:1]Somnoliento"
"[C:1:0:0]Drowsy","[C:1:0:0]Somnoliento"
"[C:4:0:1]Thirsty!","[C:4:0:1]Sediento!"
"[C:4:0:0]Thirsty","[C:4:0:1]Sediento"
"[C:5:0:1]Thirsty","[C:5:0:1]Sediento"
"[C:6:0:1]Thirsty","[C:6:0:1]Sediento"
"[C:4:0:1]Very hungry","[C:4:0:1]Mucha hambre"
"[C:6:0:1]Hungry","[C:6:0:1]Hambriento"
"[C:4:0:1]Cannot breathe","[C:4:0:1]No puede respirar"
"[C:7:0:0]Trouble breathing","[C:7:0:0]Dificultad para respirar"
"[C:4:0:1]Vision lost","[C:4:0:1]Visi¢n perdida"
"[C:6:0:1]Vision impaired","[C:6:0:1]Problemas de visi¢n"
"[C:7:0:0]Vision somewhat impaired","[C:7:0:0]Visi¢n algo deteriorada"
"[C:6:0:1]Ability to stand lost","[C:6:0:1]Habilidad para permanecer perdido"
"[C:6:0:1]Ability to stand somewhat impaired","[C:6:0:1]Capacidad para estar de pie algo deteriorada"
"[C:6:0:1]Ability to grasp lost","[C:6:0:1]Capacidad de agarre perdido"
"[C:6:0:1]Ability to grasp somewhat impaired","[C:6:0:1]Capacidad de agarre algo deteriorado"
"[C:6:0:1]Ability to fly lost","[C:6:0:1]Capacidad de volar perdida"
"[C:6:0:1]Ability to fly somewhat impaired","[C:6:0:1]Capacidad de volar algo deteriorado"
"[C:7:0:1]Motor nerve damage","[C:7:0:1]Da¤o del nervio motor"
"[C:7:0:1]Sensory nerve damage","[C:7:0:1]Da¤o a los nervios sensoriales"
"[C:7:0:0]No health problems","[C:7:0:0]Sin problemas de salud"
"Overall, ","En general, "
"very focused with satisfied needs","muy enfocado/a con necesidades satisfechas"
"quite focused with satisfied needs","bastante enfocado con necesidades satisfechas"
"somewhat focused with satisfied needs","algo enfocado con necesidades satisfechas"
"badly distracted by unmet needs","muy distra¡do por necesidades insatisfechas"
"distracted by unmet needs","distra¡do por necesidades insatisfechas"
"unfocused by unmet needs","desconcentrado por necesidades insatisfechas"
"untroubled by unmet needs","sin problemas por necesidades insatisfechas"
"unfettered","sin restricciones"
"level-headed","nivelado"
"untroubled","sin problemas"
"not distracted","sin distraerse"
"unfocused","desconcentrado"
"distracted","distra¡do"
"badly distracted","muy distra¡do"
"after spending time with people","despu‚s de pasar tiempo con la gente"
"after being away from people","despu‚s de estar lejos de las personas"
"after drinking","despues de beber"
"after being kept from alcohol","despu‚s de mantenerse alejado del alcohol"
"after communing with ","despu‚s de estar en comuni¢n con "
"after meditation","despues de meditar"
"after being unable to pray","despu‚s de no poder orar"
"after staying occupied","despu‚s de permanecer ocupado"
"after being unoccupied","despu‚s de estar desocupado"
"after admiring art","despu‚s de admirar el arte"
"after being unable to admire art","despu‚s de no poder admirar el arte"
"after doing something creative","despu‚s de hacer algo creativo"
"after doing nothing creative","despu‚s de no hacer nada creativo"
"after doing something exciting","despu‚s de hacer algo emocionante"
"after leading an unexciting life","despu‚s de llevar una vida poco emocionante"
"after learning something","despu‚s de aprender algo"
"after not learning anything","despu‚s de no aprender nada"
"after being with family","despu‚s de estar con la familia"
"after being away from family","despu‚s de estar lejos de la familia"
"after being with friends","despu‚s de estar con amigos"
"after being away from friends","despu‚s de estar lejos de amigos"
"after hearing eloquent speech","despu‚s de escuchar un discurso elocuente"
"after being unable to hear eloquent speech","despu‚s de no poder escuchar un discurso elocuente"
"after upholding tradition","despu‚s de mantener la tradici¢n"
"after being away from traditions","despu‚s de estar alejado de las tradiciones"
"after self-examination","despu‚s del autoexamen"
"after a lack of introspection","despu‚s de una falta de introspecci¢n"
"after making merry","despu‚s de hacer feliz"
"after being unable to make merry","despu‚s de no poder hacer feliz"
"after practicing a craft","despu‚s de practicar un arte"
"after being unable to practice a craft","despu‚s de no poder practicar un arte"
"after practicing a martial art","despu‚s de practicar un arte marcial"
"after being unable to practice a martial art","despu‚s de ser incapaz de practicar un arte marcial"
"after practicing a skill","despu‚s de practicar una habilidad"
"after being unable to practice a skill","despu‚s de no poder practicar una habilidad"
"after taking it easy","tras tom rselo con calma"
"after being unable to take it easy","tras no poder tomarlo con calma"
"after making romance","tras hacer romance"
"after being unable to make romance","tras no poder hacer romance"
"after seeing animals","tras ver animales"
"after being away from animals","tras estar lejos de los animales"
"after seeing a great beast","tras ver a una gran bestia"
"after being away from great beasts","tras estar lejos de las grandes bestias"
"after acquiring something","tras adquirir algo"
"after being unable to acquire something","tras no poder adquirir algo"
"after eating a good meal","despu‚s de una buena comida"
"after a lack of decent meals","despu‚s de una falta de comidas decentes"
"after fighting","tras luchar"
"after being unable to fight","tras ser incapaz de luchar"
"after causing trouble","tras causar problemas"
"after a lack of trouble-making","tras una falta de problemas"
"after arguing","despu‚s de discutir"
"after being unable to argue","despu‚s de no poder discutir"
"after being extravagant","despu‚s de ser extravagante"
"after being unable to be extravagant","despu‚s de no poder ser extravagante"
"after wandering","despu‚s de deambular"
"after being unable to wander","despu‚s de no poder vagar"
"after helping somebody","despu‚s de ayudar a alguien"
"after being unable to help anybody","despu‚s de no poder ayudar a nadie"
"after thinking abstractly","tras pensar abstractamente"
"after a lack of abstract thinking","tras una falta de pensamiento abstracto"
" likes "," le gusta "
" wood"," madera"
" fabric"," tejido"
" for their "," por su "
"the color ","el color "
"the words of ","las palabras de "
"the sound of ","el sonido de "
"the sight of ","la vista de "
"When possible, ","Cuando sea posible, "
" prefers to consume "," prefiere consumir "
" absolutely detests "," detesta absolutamente "
" needs alcohol to get through the working day"," necesita alcohol para sobrellevar la jornada laboral"
" and can't even remember the last time "," y ni si quiera puede recordar la £ltima vez "
" had some"," tuvo un poco"
" and has gone without a drink for far, far too long"," y no ha bebido por mucho, mucho tiempo"
" and really wants a drink"," y realmente quiere una bebida"
" and is starting to work slowly due to its scarcity"," y est  comenzando a trabajar lentamente debido a su escac‚s"
" likes working outdoors and grumbles only mildly at inclement weather.  "," le gusta trabajar en el exterior y solo refunfu¤a un poco por el clima inclemente. "
" does not mind being outdoors, at least for a time.  "," no le importa estar en el exterior, por lo menos durante un tiempo. "
" doesn't really care about anything anymore.  "," realmente ya no le importa nada m s. "
" is a hardened individual.  "," es un individuo endurecido. "
" is getting used to tragedy.  "," se est  acostumbrando a la tragedia. "
"[C:7:0:1]Time before time","[C:7:0:1]Tiempo antes de tiempo"
"[C:3:0:1]Winter","[C:3:0:1]Invierno"
"[C:4:0:1]Autumn","[C:4:0:1]Oto¤o"
"[C:6:0:1]Summer","[C:6:0:1]Verano"
"[C:2:0:1]Spring","[C:2:0:1]Primavera"
"quicker to love","m s r pido para amar"
"slower to love","m s lento para amar"
"more hateful","m s odioso"
"slower to hate","m s lento para odiar"
"more envious","m s envidioso"
"less envious","menos envidioso"
"more cheerful","m s alegre"
"less cheerful","menos alegre"
"more depressed","m s deprimido"
"less depressed","menos deprimido"
"more angry","m s enojado"
"less angry","menos enojado"
"more anxious","m s ansioso"
"less anxious","menos ansioso"
"more lustful","m s lujurioso"
"less lustful","menos lujurioso"
"more prone to stress","m s propenso al estr‚s"
"more resilient","m s resistente"
"greedier","m s codicioso"
"less greedy","menos codicioso"
"less temperate","menos templado"
"more temperate","m s templado"
"more likely to brawl","m s propensos a pelear"
"less likely to fight","menos probabilidades de pelear"
"more stubborn","m s obstinado"
"less stubborn","menos obstinado"
"more industrious","m s trabajador"
"less wasteful","Menos desperdicio"
"more prone to discord","m s propenso a la discordia"
"less prone to discord","menos propenso a la discordia"
"less quarrelsome","menos pendenciero"
"more quarrelsome","m s pendenciero"
"more polite","m s educado"
"more rude","m s rudo"
"less reliant on advice","menos dependiente de los consejos"
"less disdainful of advice","menos desde¤oso de los consejos"
"more fearless","m s imprudente"
"more fearful","m s temeroso"
"more confident","mas seguro"
"less confident","menos seguro"
"more vain","m s vano"
"less vain","menos vanidoso"
"more ambitious","m s ambicioso"
"less ambitious","menos ambicioso"
"more gracious","m s amable"
"less gracious","menos amable"
"more extravagant","mas extravagante"
"more austere","mas austero "
"more zany","Lunatico"
"more humorless","m s soso"
"more vengeful","m s vengativo"
"less vengeful","menos vengativo"
"more proud","m s orgulloso"
"less proud","menos orgulloso"
"more cruel","mas cruel"
"more single-minded","m s decidido"
"more scatterbrained","m s atolondrado"
"more hopeful","m s esperanzado"
"less hopeful","menos esperanzado"
"less curious","menos curioso"
"more bashful","m s t¡mido"
"more shameless","m s sinvergenza"
"more private","mas privado"
"less private","menos privado"
"more of a perfectionist","m s de un perfeccionista"
"less attentive to details","menos atento a los detalles"
"more obstinate","m s obstinado"
"more acquiescing","m s de acuerdo"
"more tolerant","m s tolerante"
"less tolerant","menos tolerante"
"more emotionally obsessive","m s obsesivo emocionalmente"
"more emotionally distant","m s distante emocionalmente"
"more swayed by others' emotions","m s influenciado por las emociones de los dem s."
"less swayed by others' emotions","menos influenciado por las emociones de los dem s"
"more altruistic","m s altruista"
"less altruistic","menos altruista"
"more dutiful","m s obediente"
"less dutiful","menos obediente"
"less cautious","menos cauteloso"
"more cautious","m s cauteloso"
"more orderly","m s organizado"
"less orderly","menos ordenado"
"more trusting","m s confiado"
"less trusting","menos confiado"
"more gregarious","m s sociable"
"more of a loner","m s de un solitario"
"more overbearing","m s autoritario"
"less assertive","menos asertivo"
"more frenetic","m s fren‚tico"
"more leisurely","M s pausado"
"more of a thrill-seeker","m s de un buscador de emociones"
"inclined to avoid excitement","inclinado para evitar la emoci¢n"
"more prone to flights of fancy","m s propenso a fantasear"
"more fact-oriented","m s orientado a los hechos"
"more inclined to the abstract","m s inclinado a lo abstracto"
"less inclined to the abstract","menos inclinado a lo abstracto"
"more artistically inclined","M s inclinado hacia lo art¡stico"
"less artistically inclined","Menos inclinado hacia lo art¡stico "
" and learned to "," y aprendio a "
"value ","valor "
"Learned to ","Aprend¡o a "
"disdain ","desd‚n "
"law","ley"
"loyalty","lealtad"
"family","familia"
"friendship","amistad"
"power","poder"
"truth","verdad"
"cunning","astuto"
"eloquence","elocuencia"
"fairness","justicia"
"decorum","decoro"
"tradition","tradici¢n"
"artwork","obra de arte"
"cooperation","cooperaci¢n"
"independence","independencia"
"stoicism","estoicismo"
"introspection","introspecci¢n"
"self-control","autocontrol"
"tranquility","tranquilidad"
"harmony","harmon¡a"
"merriment","alegr¡a"
"craftsmanship","artesan¡a"
"martial prowess","destreza marcial"
"skill","Habilidad"
"hard work","Trabajo duro"
"sacrifice","sacrificio"
"competition","competici¢n"
"perseverance","perseverancia"
"leisure time","Tiempo de ocio"
"commerce","comercio"
"nature","naturaleza"
"knowledge","conocimiento"
"created a masterful image set","cre¢ un conjunto de im genes magistral"
"us","nosotros"
"as","como"
"I don't remember clearly.","No recuerdo con claridad."
"What happened?","¨Qu‚ pas¢?"
"I am your loyal ","Soy su leal "
"  The task is accomplished."," La tarea se ha conseguido."
